month,store_id,product_id,sold_qty,avg_monthly_sales,lost_sales_qty,stockout_flag
2019-01,1,204,106,192.7198404785643,0.0,0
2019-01,1,267,170,194.33501006036218,194.33501006036218,1
2019-01,1,153,226,194.67389060887513,0.0,0
2019-01,1,10,184,196.2037962037962,196.2037962037962,1
2019-01,1,234,166,191.38802889576883,191.38802889576883,1
2019-01,1,227,125,195.32030401737242,0.0,0
2019-01,1,197,85,194.07042253521126,0.0,0
2019-01,1,110,248,197.79495268138803,197.79495268138803,1
2019-01,1,6,173,193.95853423336547,193.95853423336547,1
2019-01,1,176,248,196.66067653276954,196.66067653276954,1
2019-01,1,238,332,193.87190082644628,0.0,0
2019-01,1,58,207,193.45138178096212,0.0,0
2019-01,1,219,174,197.31370558375636,197.31370558375636,1
2019-01,1,46,207,195.29889669007022,195.29889669007022,1
2019-01,1,183,230,193.91491596638656,0.0,0
2019-01,1,222,183,194.44838373305527,0.0,0
2019-01,1,290,310,196.82608695652175,196.82608695652175,1
2019-01,1,212,188,197.9141304347826,197.9141304347826,1
2019-01,1,149,92,193.9492988133765,0.0,0
2019-01,1,166,99,193.70051813471503,0.0,0
2019-01,1,79,214,194.2615219721329,194.2615219721329,1
2019-01,1,114,222,197.2425847457627,0.0,0
2019-01,1,250,241,196.52164730728617,196.52164730728617,1
2019-01,1,251,265,196.1936507936508,0.0,0
2019-01,1,105,204,192.8055281342547,0.0,0
2019-01,1,43,137,194.19494204425712,0.0,0
2019-01,1,282,235,193.38150903294368,193.38150903294368,1
2019-01,1,296,133,193.0828905419766,0.0,0
2019-01,1,158,343,197.57310565635007,0.0,0
2019-01,1,239,187,195.71270161290323,0.0,0
2019-01,1,18,252,196.8453947368421,196.8453947368421,1
2019-01,1,165,126,193.5360501567398,0.0,0
2019-01,1,34,223,191.98130841121494,0.0,0
2019-01,1,25,203,196.57494646680942,0.0,0
2019-01,1,216,226,195.68910256410257,0.0,0
2019-01,1,120,171,195.72605561277035,0.0,0
2019-01,1,8,308,192.8970893970894,0.0,0
2019-01,1,91,206,193.90325865580448,0.0,0
2019-01,1,47,201,192.9745493107105,0.0,0
2019-01,1,74,175,196.38751238850347,0.0,0
2019-01,1,94,197,195.9990099009901,0.0,0
2019-01,1,77,238,196.29028815368196,196.29028815368196,1
2019-01,1,287,271,196.16354679802956,0.0,0
2019-01,1,61,171,194.7716049382716,194.7716049382716,1
2019-01,1,78,223,193.96395468589083,0.0,0
2019-01,1,64,299,194.99466950959487,0.0,0
2019-01,1,235,173,196.67109295199182,0.0,0
2019-01,1,230,283,194.87079831932772,0.0,0
2019-01,1,112,118,194.99031216361678,0.0,0
2019-01,1,232,249,194.4330011074197,194.4330011074197,1
2019-01,1,181,102,196.8960498960499,0.0,0
2019-01,1,145,89,192.78247096092926,0.0,0
2019-01,1,240,179,196.46012269938652,0.0,0
2019-01,1,76,183,193.27926078028747,193.27926078028747,1
2019-01,1,298,287,194.69684210526316,194.69684210526316,1
2019-01,1,279,175,194.83105981112277,0.0,0
2019-01,1,98,83,196.14461538461538,0.0,0
2019-01,1,93,173,195.446408839779,195.446408839779,1
2019-01,1,193,239,192.1864406779661,0.0,0
2019-01,1,26,231,195.2909632571996,0.0,0
2019-01,2,279,192,194.83105981112277,194.83105981112277,1
2019-01,2,38,230,197.26816239316238,0.0,0
2019-01,2,203,174,194.3893528183716,0.0,0
2019-01,2,251,87,196.1936507936508,0.0,0
2019-01,2,89,263,193.16216216216216,0.0,0
2019-01,2,207,274,190.76649214659685,0.0,0
2019-01,2,161,239,196.44216990788127,0.0,0
2019-01,2,270,130,195.25869120654397,0.0,0
2019-01,2,121,84,196.35259549461313,0.0,0
2019-01,2,135,171,194.52059134107708,0.0,0
2019-01,2,107,101,196.14844533600802,0.0,0
2019-01,2,78,80,193.96395468589083,0.0,0
2019-01,2,200,282,196.1551724137931,196.1551724137931,1
2019-01,2,110,125,197.79495268138803,0.0,0
2019-01,2,230,157,194.87079831932772,0.0,0
2019-01,2,272,152,192.0427698574338,0.0,0
2019-01,2,22,175,193.29561671763506,193.29561671763506,1
2019-01,2,67,270,195.68854166666668,195.68854166666668,1
2019-01,2,48,186,195.5769622833843,0.0,0
2019-01,2,68,105,192.61153427638737,0.0,0
2019-01,2,87,87,199.9217391304348,0.0,0
2019-01,2,120,248,195.72605561277035,195.72605561277035,1
2019-01,2,119,206,193.76555555555555,0.0,0
2019-01,2,246,205,194.3996003996004,194.3996003996004,1
2019-01,2,24,107,190.913491246138,0.0,0
2019-01,2,236,157,195.71323529411765,0.0,0
2019-01,2,79,233,194.2615219721329,0.0,0
2019-01,2,155,163,196.5638629283489,196.5638629283489,1
2019-01,2,209,152,193.01557632398755,193.01557632398755,1
2019-01,2,221,256,198.25350701402806,198.25350701402806,1
2019-01,2,172,306,192.900314795383,0.0,0
2019-01,2,88,198,195.3973442288049,0.0,0
2019-01,2,292,107,194.4528907922912,0.0,0
2019-01,2,176,118,196.66067653276954,0.0,0
2019-01,2,94,310,195.9990099009901,0.0,0
2019-01,2,254,205,196.77540650406505,0.0,0
2019-01,2,150,104,194.72081218274113,0.0,0
2019-01,2,234,162,191.38802889576883,191.38802889576883,1
2019-01,2,2,146,193.0051652892562,0.0,0
2019-01,2,143,225,194.83184965380812,0.0,0
2019-01,2,81,190,197.1872427983539,0.0,0
2019-01,2,72,113,193.15938864628822,0.0,0
2019-01,2,15,260,194.19751809720785,194.19751809720785,1
2019-01,2,188,121,195.12089077412514,0.0,0
2019-01,2,260,155,194.3945147679325,194.3945147679325,1
2019-01,2,103,213,194.53620146904512,194.53620146904512,1
2019-01,2,98,229,196.14461538461538,0.0,0
2019-01,2,197,149,194.07042253521126,0.0,0
2019-01,2,158,191,197.57310565635007,0.0,0
2019-01,2,297,153,192.36298568507158,192.36298568507158,1
2019-01,2,198,204,196.19088016967126,196.19088016967126,1
